question,offers per period,periods,offers in total,months at trailing-12m volume,months at trailing-6m volume,note
"compare two periods, detect 71.4% -> 76.4%",1210,2,2420,829.7,631.3,"two-sided alpha 0.05, power 80%"
"compare two periods, detect 71.4% -> 66.4%",1344,2,2688,921.6,701.2,"two-sided alpha 0.05, power 80%"
"one new period against 71.4% treated as known, detect +5pp",618,1,618,211.9,161.2,optimistic: ignores the uncertainty in the baseline itself
estimate the rate to within +/-5pp (95% interval half-width),314,1,314,107.7,81.9,"precision, not a test"
smallest upward move detectable comparing two 12-month periods (~35 offers each),35,2,70,24.0,18.3,minimum detectable move = 24.4% (71.4% -> 95.8%)
